   966  16 198823 1 5.3214  3.6563  3.6563  3.0298  0 0 0 0 0 0 0 0  7 3  7  26.69   1 0.5720 0.0593 0.3093 0.0593
   966  16 198829 2 4.9333  3.6563  4.1138  3.3415  0 0 0 0 0 0 0 0  7 3  7   6.38   1 0.6790 0.0445 0.2320 0.0445
  1543   4 198713 1 3.3929  3.3111  3.2656  3.0725  0 0 0 0 0 0 0 0 11 5  7  45.59   1 0.2500 0.2500 0.2500 0.2500
  1543   4 198733 2 4.7348  3.8409  3.6492  3.1384  0 0 0 0 0 0 0 0 11 5  7  71.90   1 0.4375 0.1875 0.1875 0.1875
  1543   4 198812 1 3.3929  3.6236  3.9190  3.1384  0 0 0 0 0 0 0 0 11 5  7  71.94   1 0.3281 0.3906 0.1406 0.1406
  1543   4 198829 4 4.9661  3.6236  3.0938  3.5357  1 0 0 0 1 0 0 0 11 5  7  76.75   1 0.4961 0.2930 0.1055 0.1055
  1543  43 198636 1 4.9643  4.6627  4.9665  3.1878  0 0 0 0 0 0 0 0 11 5  7  37.03   1 0.3721 0.2197 0.0791 0.3291
  1543  43 198701 1 4.5357  4.5169  4.9665  3.1878  0 1 0 0 0 0 0 0 11 5  7  40.99   1 0.5291 0.1648 0.0593 0.2468
  1543  43 198821 1 5.1500  4.9016  4.9241  3.3467  0 0 0 0 0 0 0 0 11 5  7  36.98   1 0.6468 0.1236 0.0445 0.1851
  1790   7 198812 1 4.2250  3.5239  3.9555  3.5194  0 0 0 0 0 0 0 0  8 4 11 112.90   1 0.2500 0.2500 0.2500 0.2500
  1790   7 198817 1 3.8750  3.6236  3.7888  3.3270  0 0 0 0 1 0 0 0  8 4 11  20.60   1 0.4375 0.1875 0.1875 0.1875
  1790   7 198824 1 4.2500  3.6451  3.7969  3.5194  0 0 0 0 0 1 0 0  8 4 11 151.74   1 0.5781 0.1406 0.1406 0.1406
  1790   7 198829 1 3.5357  3.8054  3.7188  3.6384  0 0 0 0 1 0 0 0  8 4 11   9.60   1 0.6836 0.1055 0.1055 0.1055
  1790   7 198834 1 3.6875  4.2688  3.6496  3.5194  0 0 0 0 0 0 0 0  8 4 11 118.01   1 0.7627 0.0791 0.0791 0.0791
  1790  29 198633 1 4.2046  3.7188  4.3464  3.3181  0 0 0 0 0 0 0 0  8 4 11  85.71   1 0.8220 0.0593 0.0593 0.0593
  1790  29 198638 1 3.6875  3.5972  4.4330  3.3129  0 0 0 0 1 0 0 0  8 4 11  89.05   1 0.8665 0.0445 0.0445 0.0445
